Company Name,Ticker,Previous Close,Type,Analyst Rating,Sentiment Rating,MarketMood Rating
Microsoft Corporation,MSFT,307.260009765625,query,buy,positive,Buy
Apple Inc.,AAPL,169.67999267578125,query,buy,positive,Buy
"Amazon.com, Inc.",AMZN,105.44999694824219,query,buy,positive,Buy
Bitcoin USD,BTC-USD,29251.458984375,trending,none,positive,Buy
"The PNC Financial Services Group, Inc.",PNC,130.25,trending,buy,positive,Buy
Ethereum USD,ETH-USD,1906.355712890625,trending,none,positive,Buy
Dogecoin USD,DOGE-USD,0.08170150965452194,trending,none,positive,Buy
Crown Castle Inc.,CCI,123.08999633789062,trending,buy,positive,Buy
Warby Parker Inc.,WRBY,10.529999732971191,trending,buy,positive,Buy
XRP USD,XRP-USD,0.4784085154533386,trending,none,positive,Buy
Anheuser-Busch InBev SA/NV,BUD,64.97000122070312,trending,hold,positive,Buy
Bitcoin CAD,BTC-CAD,39944.328125,trending,none,positive,Buy
Shiba Inu USD,SHIB-USD,1.0285696589562576e-05,trending,none,positive,Buy
JPMorgan Chase & Co.,JPM,138.24000549316406,trending,buy,positive,Buy
The Coca-Cola Company,KO,64.1500015258789,trending,buy,positive,Buy
"TG Therapeutics, Inc.",TGTX,24.829999923706055,trending,buy,positive,Buy
Johnson & Johnson,JNJ,163.6999969482422,trending,buy,positive,Buy
"NextEra Energy, Inc.",NEE,76.62999725341797,trending,buy,positive,Buy
"NIKE, Inc.",NKE,126.72000122070312,trending,buy,positive,Buy
Novo Nordisk A/S,NVO,167.08999633789062,trending,buy,positive,Buy
CVS Health Corporation,CVS,73.30999755859375,trending,buy,positive,Buy
3M Company,MMM,106.22000122070312,trending,hold,positive,Buy
Raytheon Technologies Corporation,RTX,99.9000015258789,trending,buy,positive,Buy
Fox Corporation,FOX,30.540000915527344,trending,none,positive,Buy
The Procter & Gamble Company,PG,156.3800048828125,trending,buy,positive,Buy
"Medical Properties Trust, Inc.",MPW,8.770000457763672,trending,buy,positive,Buy
Realty Income Corporation,O,62.84000015258789,trending,buy,positive,Buy
Albemarle Corporation,ALB,185.4600067138672,trending,buy,positive,Buy
Target Corporation,TGT,157.75,trending,buy,positive,Buy
